,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
116,1,50213,low,1,2,T108_03,1,1,3,T110_03,5.0,T111_03a,1885.0,TC04x03,true,TC04,1,1
117,3,19356,control,1,7,T108_03,1,1,3,T110_03,5.0,T111_03a,2397.0,TC04x03,true,TC04,1,1
118,1,84379,low,1,1,T108_03,1,1,3,T110_03,5.0,T111_03a,2124.0,TC04x03,false,TC04,1,1
119,3,98005,control,1,7,T108_03,1,1,3,T110_03,1.0,T111_03a,4424.0,TC04x03,false,TC04,1,1
120,1,86414,low,1,1,T108_03,1,1,3,T110_03,6.0,T111_03a,2704.0,TC04x03,true,TC04,1,1
121,3,18956,control,1,6,T108_03,1,1,3,T110_03,6.0,T111_03a,1607.0,TC04x03,true,TC04,1,1
122,2,20447,high,1,3,T108_03,1,1,3,T110_03,6.0,T111_03a,5498.0,TC04x03,true,TC04,1,1
123,3,4559,control,1,6,T108_04,1,1,4,T110_04,6.0,T111_04a,3710.0,TC04x04,true,TC04,1,1
124,2,59361,high,1,4,T108_04,1,1,4,T110_04,2.0,T111_04a,1095.0,TC04x04,true,TC04,1,1
125,2,94677,high,1,4,T108_04,1,1,4,T110_04,6.0,T111_04a,3168.0,TC04x04,true,TC04,1,1
126,3,39514,control,1,6,T108_04,1,1,4,T110_04,5.0,T111_04a,834.0,TC04x04,true,TC04,1,1
127,3,89555,control,1,5,T108_04,1,1,4,T110_04,3.0,T111_04a,2513.0,TC04x04,true,TC04,1,1
128,1,99467,low,1,2,T108_04,0,1,4,T110_04,6.0,T111_04a,1484.0,TC04x04,true,TC04,1,0
129,2,54447,high,1,3,T108_04,0,1,4,T110_04,4.0,T111_04a,4361.0,TC04x04,false,TC04,1,0
130,1,70147,low,1,1,T108_04,1,1,4,T110_04,6.0,T111_04a,5039.0,TC04x04,false,TC04,1,1
131,3,85033,control,1,5,T108_04,1,1,4,T110_04,6.0,T111_04a,1600.0,TC04x04,false,TC04,1,1
132,2,24500,high,1,4,T108_04,1,1,4,T110_04,4.0,T111_04a,1487.0,TC04x04,true,TC04,1,1
133,2,19117,high,1,3,T108_04,0,1,4,T110_04,6.0,T111_04a,2638.0,TC04x04,true,TC04,1,0
134,1,80909,low,1,2,T108_04,1,1,4,T110_04,6.0,T111_04a,1667.0,TC04x04,true,TC04,1,1
135,1,48497,low,1,2,T108_04,1,1,4,T110_04,5.0,T111_04a,2826.0,TC04x04,true,TC04,1,1
136,2,33490,high,1,3,T108_04,1,1,4,T110_04,2.0,T111_04a,6467.0,TC04x04,true,TC04,1,1
137,3,63779,control,1,6,T108_04,1,1,4,T110_04,6.0,T111_04a,8180.0,TC04x04,false,TC04,1,1
