"Participant","Partner","Stakes","Context","Trustworthiness","Risk"
160,"AI","LS","med",4.66666666666667,1
160,"hu","HS","med",4.88888888888889,5
160,"AI","HS","med",4.66666666666667,5
161,"hu","LS","med",6,3
161,"AI","LS","med",6.11111111111111,3
161,"hu","HS","med",6,3
161,"AI","HS","med",6,5
162,"hu","LS","med",7,2
162,"AI","LS","med",7,2
162,"hu","HS","med",7,3
162,"AI","HS","med",6.77777777777778,3
163,"hu","LS","med",4.55555555555556,2
163,"AI","LS","med",4.55555555555556,5
163,"hu","HS","med",5.66666666666667,2
163,"AI","HS","med",3.88888888888889,6
164,"hu","LS","med",5.88888888888889,4
164,"AI","LS","med",5.11111111111111,5
164,"hu","HS","med",5.77777777777778,6
164,"AI","HS","med",5.66666666666667,6
165,"hu","LS","med",6.88888888888889,4
165,"AI","LS","med",5,5
165,"hu","HS","med",5.22222222222222,5
165,"AI","HS","med",5.77777777777778,3
166,"hu","LS","med",4.77777777777778,2
166,"AI","LS","med",4.66666666666667,3
166,"hu","HS","med",6.44444444444444,2
166,"AI","HS","med",4.11111111111111,6
167,"hu","LS","med",5.55555555555556,5
167,"AI","LS","med",6,5
167,"hu","HS","med",5.33333333333333,6
167,"AI","HS","med",5.55555555555556,6
168,"hu","LS","med",7,1
168,"AI","LS","med",5.55555555555556,2
168,"hu","HS","med",6.77777777777778,1
168,"AI","HS","med",6,1
169,"hu","LS","med",7,1
169,"AI","LS","med",4.77777777777778,2
169,"hu","HS","med",7,1
169,"AI","HS","med",3.22222222222222,5
170,"hu","LS","med",3,6
170,"AI","LS","med",5.44444444444444,2
170,"hu","HS","med",3.55555555555556,5
170,"AI","HS","med",4.88888888888889,3
171,"hu","LS","med",5.33333333333333,1
171,"AI","LS","med",4.66666666666667,2
171,"hu","HS","med",5.55555555555556,6
171,"AI","HS","med",5,5
172,"hu","LS","med",5.77777777777778,6
172,"AI","LS","med",4.22222222222222,3
172,"hu","HS","med",7,7
172,"AI","HS","med",3,6
173,"hu","LS","med",7,1
173,"AI","LS","med",7,4
173,"hu","HS","med",7,1
173,"AI","HS","med",7,4
174,"hu","LS","med",5.77777777777778,6
174,"AI","LS","med",5.77777777777778,6
174,"hu","HS","med",6,6
174,"AI","HS","med",5.77777777777778,6
175,"hu","LS","med",3.11111111111111,3
175,"AI","LS","med",6,7
175,"hu","HS","med",2.22222222222222,6
175,"AI","HS","med",6.33333333333333,1
176,"hu","LS","med",6.44444444444444,2
176,"AI","LS","med",4.33333333333333,5
176,"hu","HS","med",6.88888888888889,1
176,"AI","HS","med",2.44444444444444,7
177,"hu","LS","med",7,1
177,"AI","LS","med",6,2
177,"hu","HS","med",7,4
177,"AI","HS","med",5.77777777777778,4
178,"hu","LS","med",6.55555555555556,1
178,"AI","LS","med",6,1
178,"hu","HS","med",6,1
178,"AI","HS","med",6.77777777777778,2
179,"hu","LS","med",6,2
179,"AI","LS","med",4.88888888888889,5
179,"hu","HS","med",6.88888888888889,3
179,"AI","HS","med",5.22222222222222,7
180,"hu","LS","med",7,1
180,"AI","LS","med",6.33333333333333,1
180,"hu","HS","med",6,2
180,"AI","HS","med",4,2
181,"hu","LS","law",4,5
181,"AI","LS","law",4,5
181,"hu","HS","law",4,4
181,"AI","HS","law",4,4
182,"hu","LS","law",5.22222222222222,5
182,"AI","LS","law",5,5
182,"hu","HS","law",3.55555555555556,3
182,"AI","HS","law",5.55555555555556,6
183,"hu","LS","law",6,2
183,"AI","LS","law",5.33333333333333,4
183,"hu","HS","law",6,2
183,"AI","HS","law",5,6
184,"hu","LS","law",5.66666666666667,1
184,"AI","LS","law",4.44444444444444,2
184,"hu","HS","law",5.66666666666667,2
184,"AI","HS","law",4,5
185,"hu","LS","law",4.55555555555556,3
185,"AI","LS","law",4.11111111111111,4
185,"hu","HS","law",4.77777777777778,5
185,"AI","HS","law",4.11111111111111,5
